accel__standard_deviation,accel__variance,accel__root_mean_square,accel__absolute_maximum,accel__sum_values,accel__mean,accel__maximum,accel__minimum,accel__median,label
0.1287019949392622,0.016564203501345874,0.1288110053403785,0.40885,2.20407759,0.0052982634375,0.40641,-0.40885,0.0069847,1
0.11153478345421358,0.012440007920178317,0.11160060816168134,0.32747,1.5943072799999998,0.0038324694230769227,0.32747,-0.31919,0.0017056,1
0.12107986354589698,0.014660333356293033,0.12112701222175697,0.38562,1.4057928000000004,0.003379309615384616,0.38562,-0.33933,0.0032487,1
0.11891536338891659,0.014140863649918085,0.11901667788914175,0.38887,2.0424695900000005,0.004909782668269232,0.34745,-0.38887,0.00471065,1
0.10768584716037805,0.011596241678648301,0.10776123109364943,0.38952,1.6764979700000007,0.004030043197115386,0.38952,-0.32503,0.0073907999999999995,1
0.12545906789155997,0.01573997771621905,0.12556144289083135,0.39634,2.10884612,0.005069341634615384,0.34582,-0.39634,0.00536035,1
0.12723305855544645,0.016188251189373663,0.12729916817228915,0.34745,1.70646364,0.004102076057692307,0.34501,-0.34745,0.0065786,1
0.12018439084080423,0.01444428780177519,0.12026494473719268,0.37458,1.8308315900000005,0.004401037475961539,0.37458,-0.30863,0.00527915,1
0.11290198714711529,0.012746858701767385,0.11299514910506035,0.384,1.9083937999999998,0.004587485096153846,0.32455,-0.384,-0.001055855,1
0.12172036173828119,0.014815846461698026,0.12180050992852079,0.40836,1.8378424800000002,0.004417890576923078,0.37555,-0.40836,-0.000243655,1
0.10969060169212792,0.012032028099581057,0.10979404579315785,0.29336,1.9822036399999998,0.0047649125961538455,0.28215,-0.29336,0.00568525,1
0.12176943814454357,0.014827796066037822,0.12184596408005322,0.34761,1.7961807000000007,0.004317742067307694,0.34761,-0.31594,-0.0032487,1
0.11267521223821021,0.012695703452925717,0.11276455177996478,0.33169,1.86694039,0.004487837475961538,0.33169,-0.30928,-0.0051167,1
0.1063674736524988,0.011314039451215025,0.10648170333196025,0.29969,2.0512509599999995,0.00493089173076923,0.26363,-0.29969,0.00446695,1
0.11738504779104471,0.013779249444905849,0.11744528154686895,0.4363,1.5645534200000004,0.003760945721153847,0.4363,-0.32974,-0.00064974,1
0.11877309762499873,0.014107048719437477,0.11889641318525825,0.30863,2.2521069300000005,0.005413718581730771,0.29856,-0.30863,0.0089339,1
0.12314467975721295,0.015164612152506533,0.12320980163817258,0.40739,1.6662379899999995,0.004005379783653845,0.40739,-0.28784,-0.0039796499999999995,1
0.11047361893478588,0.012204420480548282,0.11059393284484641,0.40999,2.14542705,0.005157276562499999,0.40999,-0.34485,0.0026801999999999998,1
0.10621842894070815,0.011282354646632268,0.10631681496176543,0.35005,1.90228467,0.0045727996875,0.35005,-0.31772,0.00674105,1
0.12235835952760497,0.01497156814628664,0.12241558804960916,0.416,1.55697698,0.0037427331249999998,0.416,-0.30522,0.000162435,1
0.11875582695477607,0.01410294643571272,0.1188528534427359,0.35216,1.9974211200000003,0.004801493076923078,0.35021,-0.35216,0.00292385,1
0.09979691962237058,0.009959425166113896,0.09991425425608845,0.29417,2.0137596,0.00484076826923077,0.29417,-0.26737,0.0031675,1
0.12443557040418182,0.015484211181814093,0.1245199057587498,0.41681,1.9061584999999996,0.004582111778846153,0.40057,-0.41681,-0.00194925,1
0.11454880322426976,0.013121428320112474,0.1146922069604689,0.3213,2.3851721,0.005733586778846154,0.32,-0.3213,0.0049543,1
0.11568476236747902,0.013382964244020088,0.11574301167526191,0.36402,1.5273777300000004,0.0036715810817307703,0.36402,-0.34956,0.0040608499999999995,1
0.1148471408915007,0.013189865770952214,0.11494926842585561,0.36418,2.0152845399999997,0.004844433990384615,0.36418,-0.34176,0.00300505,1
0.10550683123344033,0.011131691436921661,0.10564051331362571,0.34631,2.2101550399999996,0.005312872692307692,0.34631,-0.28377,0.01202,1
0.10815048778848771,0.01169652800888783,0.10826340374844812,0.33088,2.05642826,0.0049433371634615385,0.33088,-0.32016,0.0118575,1
0.12078792532968148,0.014589722905448708,0.12088007445236021,0.33121,1.9631275000000004,0.004719056490384616,0.33121,-0.30652,0.0078781,1
0.10494670985848216,0.011013811910120437,0.10504182185208305,0.29661,1.8591257300000001,0.004469052235576924,0.29661,-0.28345,0.0060913,1
0.11402043433653339,0.013000659446291722,0.11412220250675323,0.40722,2.0044837600000003,0.004818470576923078,0.40722,-0.31642,0.00259895,1
0.12927106530207355,0.016711008324332963,0.12938462929130531,0.42071,2.25462684,0.005419776057692307,0.38578,-0.42071,0.00357355,1
0.10900055976132009,0.011881122028281113,0.10909902551677961,0.384,1.9278061400000002,0.004634149375,0.33218,-0.384,0.0071471,1
0.12366354026806421,0.015292671191631139,0.12376047255978899,0.39033,2.03726955,0.004897282572115385,0.35248,-0.39033,0.0064974,1
0.10820585744260408,0.011708507584889156,0.1083153792669836,0.3645,2.02578763,0.004869681802884615,0.33137,-0.3645,0.0037359999999999997,1
0.11937210616461896,0.01424969973017706,0.11944462658321943,0.39845,1.7312343400000003,0.004161621009615386,0.39845,-0.31155,0.00316745,1
0.12235243716692727,0.014970118880686886,0.12246881688041146,0.44377,2.22052942,0.005337811105769231,0.44377,-0.3775,0.0032487,1
0.12401556016698814,0.015379859163531857,0.1240958879084762,0.41616,1.8571608099999999,0.004464328870192307,0.41616,-0.36418,0.0014619,1
0.10986214110725784,0.012069690048671033,0.10999268259244417,0.35492,2.22861785,0.005357254447115384,0.35492,-0.30115,-8.122000000000001e-05,1
0.11797291011146159,0.013917607520166995,0.11805811662470544,0.39309,1.86558171,0.004484571418269231,0.34972,-0.39309,0.0077157,1
0.12120711263002083,0.014691164152106556,0.12128926899795213,0.35638,1.8568062000000003,0.004463476442307693,0.35638,-0.33397,0.0107205,1
0.11181573192492525,0.012502757905906749,0.11195476516366326,0.37555,2.32035302,0.0055777716826923085,0.37555,-0.33397,0.0060913,1
0.12674293980079224,0.016063772789347248,0.12681667856564602,0.45401,1.7987934800000005,0.004324022788461539,0.45401,-0.34907,-0.0017868,1
0.11680788430086406,0.013644081834844045,0.11687324799683,0.38318,1.6258237199999996,0.003908230096153846,0.3364,-0.38318,0.00625375,1
0.1042726233530158,0.010872779980919896,0.1043834488856498,0.29742,2.0004548700000004,0.004808785745192308,0.29742,-0.27338,0.00836545,1
0.11183834256459936,0.012507814867596678,0.11186754972047376,0.36012,1.06335108,0.0025561324038461536,0.36012,-0.27988,0.0098271,1
0.10413313550090658,0.010843709909250172,0.10432705598121803,0.34176,2.64494555,0.0063580421875,0.34176,-0.30294,0.0064974,1
0.11716522186386723,0.01372768921440923,0.11721615957628034,0.39342,1.4373899500000002,0.003455264302884616,0.35914,-0.39342,0.0008934,1
0.12351975027026436,0.015257128706828474,0.12360226644991167,0.39585,1.87853204,0.00451570201923077,0.39585,-0.32698,0.00300505,1
0.11098693523298739,0.012318099792411339,0.11110178270339431,0.33478,2.10095764,0.005050378942307692,0.33478,-0.3187,0.0055228,1
0.11721826702771644,0.013740122124981035,0.1172696205303693,0.33056,1.4435724100000005,0.003470125985576924,0.33056,-0.30652,0.00243655,1
0.10454741767023072,0.010930162541513671,0.10467916995869139,0.29352,2.1841419,0.005250341105769231,0.29352,-0.27159,0.00917755,1
0.11619081278541006,0.01350030497573421,0.11627975714548143,0.35525,1.8916314600000004,0.004547191009615386,0.34501,-0.35525,0.0026801999999999998,1
0.12061802226049216,0.014548707294032582,0.12067208541732181,0.43013,1.5024976099999998,0.003611773100961538,0.43013,-0.33949,0.001055805,1
0.11821852324374159,0.013975619237931069,0.11838530320446011,0.4056,2.61322104,0.006281781346153846,0.4056,-0.39147,0.005685249999999999,1
0.1068951793299408,0.011426579363980203,0.10691760479218627,0.28751,0.9109213200000001,0.002189714711538462,0.28069,-0.28751,0.00016240999999999998,1
0.11118565113024455,0.01236224901725645,0.11133192384822008,0.34777,2.37332468,0.005705107403846154,0.34664,-0.34777,0.00763445,1
0.12029037107942198,0.01446977337442504,0.12034322390019032,0.40186,1.4835614700000002,0.0035662535336538465,0.39683,-0.40186,0.0095837,1
0.11748287054735479,0.013802224872046524,0.1175563242852947,0.39179,1.7285041499999998,0.004155058052884615,0.39179,-0.31967,0.00146195,1
0.12525377563095752,0.01568850830981025,0.12535624411905658,0.44816,2.10808302,0.0050675072596153845,0.44816,-0.39862,0.00901515,1
0.11354408008720981,0.012892258122850716,0.11359503492780271,0.30635,1.41524627,0.0034020343028846154,0.30635,-0.29271,0.0033299000000000002,1
0.11810557332952595,0.013948926451496032,0.1182122862087593,0.37246,2.0890557100000002,0.005021768533653847,0.37246,-0.36824,0.0064974,1
0.12027389356084468,0.014465809472285394,0.12035367470570786,0.37847,1.8227040300000001,0.004381500072115385,0.37847,-0.3658,-0.00308625,1
0.09818402233696258,0.009640102242265167,0.0982731684249935,0.28491,1.7409185000000003,0.004184900240384616,0.26558,-0.28491,0.0073908,1
0.11931357529983994,0.014235729250830574,0.1194299103399222,0.37246,2.1923726100000005,0.005270126466346155,0.37246,-0.32828,0.0088527,1
0.12118155666822604,0.014684969676534479,0.12121956193007395,0.37084,1.2626486099999994,0.003035213004807691,0.28215,-0.37084,0.0060913,1
0.11786537886744715,0.013892247535566858,0.11797050730264759,0.41502,2.0713733100000002,0.004979262764423078,0.41502,-0.32276,0.012832,1
0.11598843929758555,0.013453318050689687,0.11610115342396586,0.37506,2.12769973,0.005114662812499999,0.37506,-0.33267,0.00657865,1
0.10449430421740116,0.010919059613878783,0.10453280027113317,0.28053,1.1800563299999995,0.0028366738701923067,0.28053,-0.27744,-0.0027614,1
0.13844858296122647,0.019168010123971607,0.13859312601088072,0.51411,2.632476579999999,0.006328068701923075,0.51411,-0.49315,0.00812175,1
0.13460690992370802,0.018119020199209242,0.13463495333996603,0.41746,1.1430891000000003,0.0027478103365384623,0.36174,-0.41746,0.004791800000000001,1
0.10818472595011833,0.011703934928902206,0.10833001535827964,0.33884,2.3332111500000003,0.005608680649038462,0.31594,-0.33884,0.0073908,1
0.12859120376080785,0.0165356976846536,0.12866254269079325,0.4095,1.7821221999999999,0.004283947596153846,0.36061,-0.4095,0.006334950000000001,1
0.11351322925904848,0.012885253216817301,0.11360695811538012,0.38416,1.9193662700000003,0.004613861225961539,0.38416,-0.25632,0.0043045,1
0.1093295193441064,0.011952943800013336,0.1094413819903579,0.38936,2.0579302599999996,0.004946947740384614,0.38936,-0.31399,0.009989850000000002,1
0.1304353755685063,0.017013387199697288,0.13049313010008687,0.40008,1.61490555,0.003881984495192308,0.40008,-0.39634,0.0092588,1
0.11058666943102287,0.012229411455846327,0.11065870299255649,0.35525,1.6607255700000003,0.003992128774038462,0.35525,-0.30392,0.00471065,1
0.11141902133069438,0.012414198314289731,0.11159047143452216,0.40365,2.5723134100000005,0.0061834456971153855,0.40365,-0.27841,0.00641615,1
0.11823954879048182,0.013980590898176732,0.1182747303592267,0.3736,1.1999954899999994,0.0028846045432692293,0.3736,-0.33104,0.0036548,1
0.12098986691946093,0.014638547897188865,0.12114365421468143,0.37945,2.5385225100000004,0.0061022175721153855,0.37945,-0.37717,0.00674105,1
